instance,scenario,progress,scenario_seed,method,algorithm_seed_count,algorithm_seed_min,algorithm_seed_max,greedy_baseline_cost,route_cost_mean,route_cost_sample_sd,route_cost_median,route_cost_min,route_cost_max,route_cost_cv,online_time_ms_mean,online_time_ms_sample_sd,online_time_ms_median,online_time_ms_min,online_time_ms_max,online_time_ms_cv,paired_relative_reduction_percent
L-U,service_location_invalidation,0.5,2,global_replan,10,1000,1009,108.598974761992,110.6676072462431,1.019228862223919,110.509741086455,109.646203638754,112.420371502531,0.009209821081213621,1405.46064,106.94203506571215,1353.80895,1281.5128,1567.2091,0.07609038063542793,-1.9048361080615719
M-C,new_task_arrival,0.25,0,dynamic_ails,10,1000,1009,123.110280788042,121.31444820553979,1.2277778107359385,121.2907357677535,120.097869136025,123.043554500712,0.010120623131844508,1080.91052,57.42060534660591,1067.1399000000001,1015.5039,1179.4953,0.05312244102000776,1.458718614730548
M-C,new_task_arrival,0.25,0,global_replan,10,1000,1009,123.110280788042,149.4567754891285,7.108532179970142,151.329103269094,136.048062392581,157.301023627128,0.047562461833570185,1221.0983099999999,62.22102279823739,1199.7689500000001,1142.5843,1337.1823,0.05095496594228961,-21.400726675660042
M-C,new_task_arrival,0.25,1,dynamic_ails,10,1000,1009,120.096878972802,120.096878972802,0.0,120.096878972802,120.096878972802,120.096878972802,0.0,1075.02952,47.467303578446966,1061.4218,1024.5268,1156.849,0.04415441873488922,0.0
M-C,new_task_arrival,0.25,1,global_replan,10,1000,1009,120.096878972802,149.994859273844,5.897694992625217,152.138545473438,140.057785310696,156.788479528909,0.039319314149679346,1190.15725,46.24268756663046,1174.58205,1146.1945,1265.2452,0.038854267002642266,-24.894885326547847
M-C,new_task_arrival,0.25,2,dynamic_ails,10,1000,1009,121.178271219815,120.29480384807042,0.3078707987202184,120.103648193774,120.103648193774,120.749480104779,0.0025593025539910447,1094.71754,45.906479359797935,1104.23,1025.2102,1175.4866,0.041934542639919636,0.7290641819291135
M-C,new_task_arrival,0.25,2,global_replan,10,1000,1009,121.178271219815,144.43029497170602,5.202194665320478,143.5014200359615,137.941507622067,155.411473919874,0.036018722154791634,1244.1433000000002,47.9006875322729,1237.7712999999999,1184.5569,1309.9594,0.03850094079377584,-19.188278160621966
M-C,new_task_arrival,0.5,0,dynamic_ails,10,1000,1009,130.338124073865,124.6894545676242,2.2248488516659153,123.664453451702,123.48757820356,128.932478680366,0.01784311960767531,1028.70055,17.04645367102299,1022.64085,1009.4596,1055.7236,0.016570860850636263,4.3338582217430135
M-C,new_task_arrival,0.5,0,global_replan,10,1000,1009,130.338124073865,134.7500745289473,6.323631597437852,136.66839627561052,124.067936825622,141.658367169736,0.04692859443338858,1095.80941,17.22321671971683,1095.9508500000002,1071.9287,1127.3894,0.015717346978902865,-3.3850038017901483
M-C,new_task_arrival,0.5,1,dynamic_ails,10,1000,1009,124.413733870849,124.2480120855959,0.1148909908717943,124.171875819575,124.171875819575,124.413733870849,0.0009246907772870004,1039.6658400000001,20.531551420852487,1038.1658,1013.4636,1071.5542,0.01974822162172077,0.13320216353696898
M-C,new_task_arrival,0.5,1,global_replan,10,1000,1009,124.413733870849,124.85661351570312,1.1790874988639986,124.413733870849,124.171875819575,127.294888701232,0.009443532590411845,1103.91176,22.054988126307265,1106.08535,1070.3311,1137.7522,0.019978941184852734,-0.3559732764823692
M-C,new_task_arrival,0.5,2,dynamic_ails,10,1000,1009,126.629100124306,125.1397570313381,0.7320687617100278,124.92833087599,124.413733870849,126.460858005026,0.005850009454043447,1037.63867,17.440117102247683,1039.1206000000002,1009.3854,1068.7577,0.016807504969189018,1.1761459976465756
M-C,new_task_arrival,0.5,2,global_replan,10,1000,1009,126.629100124306,124.9824165063737,0.46286970897255764,124.996396294041,124.398832032445,126.096462251424,0.0037034786325239022,1097.53871,18.636026661248884,1092.1377,1074.8391,1132.4789,0.016979835418514656,1.3003990522840618
